,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
161,1987Q2,113.06666666666666,-0.6699999999999999,1.2782539682539683,6.6499999999999995,4806.16,144.68,9.166666666666666,6.266666666666667,293.4685706984127,19.364
162,1987Q3,114.26666666666667,-0.66,1.5506250000000000,6.843333333333334,4884.555,146.34,9.756666666666666,6.0,319.223748703125,20.385
163,1987Q4,115.33333333333333,-0.5033333333333333,1.7216129032258065,6.916666666666667,5007.994,147.3,10.213333333333333,5.833333333333334,255.700156921875,18.669666666666668
164,1988Q1,116.23333333333333,-0.6333333333333333,1.2348387096774194,6.663333333333334,5073.372,149.59,9.556666666666667,5.7,258.4769851269841,16.714
165,1988Q2,117.56666666666666,-0.6633333333333334,1.2536507936507937,7.156666666666666,5190.036,152.59,9.81,5.466666666666667,263.2687305714286,17.281000000000002
166,1988Q3,119.0,-0.7133333333333334,0.78296875000000000000,7.983333333333333,5282.835,154.18,9.963333333333333,5.466666666666667,266.7823425,15.162999999999998
167,1988Q4,120.3,-0.61,0.32245901639344262295,8.47,5399.509,155.59,9.51,5.333333333333334,274.97825409523807,14.680333333333332
168,1989Q1,121.66666666666667,-0.8566666666666668,-0.15852459016393442623,9.443333333333333,5511.253,157.4,9.686666666666667,5.2,290.6385493225807,18.418000000000003
169,1989Q2,123.63333333333333,-1.3966666666666665,-0.91203125000000000000,9.726666666666667,5612.463,159.56,9.486666666666666,5.233333333333333,313.648280125,20.358999999999998
170,1989Q3,124.60000000000001,-1.3866666666666667,-1.0474603174603175,9.083333333333334,5695.365,162.96,8.966666666666667,5.233333333333333,342.1761915238095,19.253333333333334
171,1989Q4,125.86666666666667,-1.1033333333333333,-0.80693548387096774194,8.613333333333333,5747.237,164.31,8.89,5.366666666666666,345.3774593333333,20.333000000000002
172,1990Q1,128.03333333333333,-0.55,0.12080645161290322581,8.25,5872.701,165.24,9.193333333333333,5.3,336.57476322222226,21.722333333333335
173,1990Q2,129.29999999999998,-0.5,0.40666666666666666667,8.243333333333332,5960.028,165.93,9.396666666666667,5.333333333333334,349.79650784126983,17.896666666666665
174,1990Q3,131.53333333333333,-0.7533333333333333,0.24047619047619047619,8.16,6015.116,166.96,9.403333333333334,5.7,335.8817453809524,26.499666666666666
175,1990Q4,133.76666666666665,-0.7799999999999999,0.25612903225806451613,7.743333333333332,6004.733,166.31,9.293333333333335,6.133333333333334,316.562033078125,31.852999999999998
176,1991Q1,134.76666666666668,-0.3833333333333333,1.1106666666666667,6.426666666666667,6035.178,167.68,8.933333333333332,6.6,352.28295096721314,21.780666666666665
177,1991Q2,135.56666666666666,-0.1733333333333333,1.8932812500000000,5.863333333333333,6126.862,168.8,8.909999999999998,6.833333333333334,378.665936921875,20.752666666666666
